VGS_V,I_model_A,I_synthetic_raw_mean_A,I_synthetic_corrected_A,gm_model_numeric_S,gm_synthetic_raw_S,gm_synthetic_corrected_S
1.74,0.000309096,0.00032578125,0.000307733292969045,0.0011448,0.0011474609375,0.00113827291304019
1.76,0.000332416,0.000349609375,0.000331370619844092,0.0011872,0.0012060546875,0.00119639748732309
1.78,0.000356584,0.0003740234375,0.000355589192461968,0.0012296,0.0012353515625,0.00122545977446454
1.8,0.0003816,0.0003990234375,0.000380389010822674,0.001272,0.0012744140625,0.00126420949065314
1.82,0.000407464,0.000425,0.000406157572088094,0.00131439999999999,0.001318359375,0.00130780292136532
1.84,0.000434176,0.0004517578125,0.000432701127677287,0.00135679999999999,0.001376953125,0.00136592749564823
1.86,0.000461736,0.000480078125,0.000460794671914023,0.0013992,0.00145019531249999,0.00143858321350185
1.88,0.000490144,0.000509765625,0.000490244456217361,0.00144160000000001,0.00144531250000001,0.00143373949897828
1.9,0.0005194,0.000537890625,0.000518144251873154,0.00148400000000001,0.00146972656250001,0.00145795807159616
1.92,0.000549504,0.0005685546875,0.000548562779081207,0.0015264,0.001533203125,0.00152092636040263
1.94,0.000580456,0.00059921875,0.00057898130628926,0.0015688,0.0016064453125,0.00159358207825626
1.96,0.000612256,0.0006328125,0.000612306062211458,0.0016112,0.0016162109375,0.00160326950730342
1.98,0.000644904,0.0006638671875,0.000643112086581397,0.0016536,0.00169921875,0.00168561265420419
2,0.0006784,0.00070078125,0.000679730568379625,0.001696,0.001748046875,0.00173404979943994
2.02,0.000712744,0.0007337890625,0.000712474078558994,0.0017384,0.00169921875,0.0016856126542042
2.04,0.000747936,0.00076875,0.000747155074547793,0.0017808,0.0017626953125,0.00174858094301067
2.06,0.000783976,0.000804296875,0.000782417316279421,0.0018232,0.00184570312499999,0.00183092408991144
2.08,0.000820864,0.000842578125,0.000820392038144251,0.00186559999999998,0.001943359375,0.00192779838038296
2.1,0.000858599999999999,0.00088203125,0.000859529251494739,0.001908,0.00190429687500001,0.00188904866419437
2.12,0.000897184,0.00091875,0.000895953984712026,0.0019504,0.0019482421875,0.00193264209490653
2.14,0.000936615999999999,0.0009599609375,0.000936834935291001,0.0019928,0.00200195312499998,0.00198592295466584
2.16,0.000976896,0.000998828125,0.00097539090289866,0.0020352,0.002021484375,0.00200529781276016
2.18,0.001018024,0.0010408203125,0.00101704684780141,0.00207760000000001,0.002109375,0.00209248467418451
2.2,0.00106,0.001083203125,0.00105909028986604,0.00212,0.002138671875,0.00212154696132597
2.22,0.001102824,0.0011263671875,0.00110190872625445,0.0021624,0.0021630859375,0.00214576553394385
2.24,0.001146496,0.0011697265625,0.00114492091122379,0.00220480000000001,0.0021875,0.00216998410656171
2.26,0.001191016,0.0012138671875,0.00118870809051691,0.0022472,0.0022998046875,0.00228138954060395
2.28,0.001236384,0.00126171875,0.00123617649284795,0.00228960000000002,0.00238281250000003,0.00236373268750476
2.3,0.0012826,0.0013091796875,0.0012832573980171,0.00233200000000002,0.00233886718750003,0.00232013925679258
2.32,0.001329664,0.0013552734375,0.00132898206311965,0.0023744,0.00240722656249999,0.0023879512601226
2.34,0.001377576,0.00140546875,0.00137877544842201,0.00241679999999998,0.00247070312499998,0.00245091954892906
2.36,0.001426336,0.0014541015625,0.00142701884507682,0.0024592,0.00241699218750001,0.00239763868916976
2.38,0.001475944,0.0015021484375,0.0014746809959888,0.0025016,0.00253417968750001,0.00251388783773557
2.4,0.0015264,0.00155546875,0.00152757435858624,0.002544,0.00258300781249998,0.0025623249829713
2.42,0.001577704,0.00160546875,0.00157717399530765,0.0025864,0.0025634765625,0.00254295012487702
2.44,0.001629856,0.0016580078125,0.00162929236358132,0.0026288,0.0026416015625,0.00262044955725422
2.46,0.001682856,0.0017111328125,0.00168199197759782,0.0026712,0.00270507812499999,0.00268341784606069
2.48,0.001736704,0.0017662109375,0.00173662907742375,0.0027136,0.002744140625,0.0027221675622493
2.5,0.0017914,0.0018208984375,0.00179087868008779,0.002756,0.00276367187500002,0.00274154242034362
2.52,0.001846944,0.0018767578125,0.00184629077423749,0.0027984,0.0028271484375,0.00280451070915008
2.54,0.001903336,0.001933984375,0.00190305910845379,0.0028408,0.00282714843749997,0.00280451070915006
2.56,0.001960576,0.00198984375,0.0019584712026035,0.00288319999999999,0.00287597656250001,0.00285294785438584
2.58,0.002018664,0.0020490234375,0.00201717702262923,0.0029256,0.00301269531250001,0.00298857186104595
2.6,0.0020776,0.0021103515625,0.00207801407704533,0.00296800000000001,0.00302734374999999,0.00300310300461665
2.62,0.002137384,0.0021701171875,0.00213730114281389,0.0030104,0.00302246093750001,0.0029982592900931
2.64,0.002198016,0.00223125,0.00219794444864906,0.0030528,0.0031005859375,0.0030757587224703
2.66,0.002259496,0.002294140625,0.00226033149171271,0.00309519999999998,0.00309570312499999,0.00307091500794671
2.68,0.002321824,0.002355078125,0.00232078104896693,0.0031376,0.00312988281249999,0.00310482100961173
2.7,0.002385,0.0024193359375,0.00238452433209718,0.00318,0.00323242187499999,0.00320653901460682
2.72,0.002449024,0.002484375,0.0024490426095512,0.00322239999999999,0.0032421875,0.00321622644365397
2.74,0.002513896,0.0025490234375,0.00251317338984334,0.00326479999999999,0.00329101562499999,0.00326466358888972
2.76,0.002579616,0.002616015625,0.00257962915310679,0.0033072,0.00331054687499998,0.00328403844698402
2.78,0.002646184,0.0026814453125,0.0026445349277227,0.00334960000000005,0.00334472656250002,0.00331794444864909
2.8,0.0027136,0.0027498046875,0.00271234693105275,0.003392,0.00343261718750008,0.00340513131007349
2.82,0.002781864,0.00281875,0.00278074018012563,0.00343439999999998,0.00347656249999999,0.00344872474078558
2.84,0.002850976,0.0028888671875,0.00285029592068417,0.00347680000000001,0.00351562499999998,0.00348747445697417
2.86,0.002920936,0.002959375,0.0029202391584046,0.0035192,0.00351562500000001,0.0034874744569742
2.88,0.002991744,0.0030294921875,0.00298979489896314,0.00356159999999999,0.00357910156249999,0.00355044274578065
2.9,0.0030634,0.0031025390625,0.00306225686823583,0.00360400000000001,0.00366210937499999,0.00363278589268144
2.92,0.003135904,0.0031759765625,0.0031351063346704,0.0036464,0.00368164062499997,0.00365216075077573
2.94,0.003209256,0.0032498046875,0.00320834329826686,0.0036888,0.0037353515625,0.00370544161053508
2.96,0.003283456,0.003325390625,0.0032833239990918,0.00373119999999999,0.00372558593750001,0.00369575418148794
2.98,0.003358504,0.003398828125,0.00335617346552637,0.00377360000000001,0.00383789062499999,0.00380715961553015
3,0.0034344,0.00347890625,0.00343561038371301,0.00381600000000002,0.00388183593750004,0.00385075304624238
3.02,0.003511144,0.0035541015625,0.00351020358737607,0.00385839999999999,0.00386230468750002,0.00383137818814805
3.04,0.003588736,0.0036333984375,0.00358886551123893,0.0039008,0.00391113281249997,0.00387981533338375
3.06,0.003667176,0.003710546875,0.00366539620071142,0.00394320000000001,0.003974609375,0.00394278362219026
3.08,0.003746464,0.0037923828125,0.00374657685612654,0.0039856,0.00404296874999998,0.0040105956255203
3.1,0.0038266,0.003872265625,0.00382582002573223,0.004028,0.00403808593749996,0.0040057519109967
3.12,0.003907584,0.00395390625,0.00390680693256641,0.0040704,0.00407714843750004,0.00404450162718539
3.14,0.003989416,0.0040353515625,0.00398760009081965,0.00411279999999998,0.00416992187500001,0.0041365322031333
3.16,0.004072096,0.004120703125,0.00407226822069174,0.0041552,0.00418945312499997,0.00415590706122754
3.18,0.004155624,0.0042029296875,0.00415383637326875,0.0041976,0.00421386718750004,0.00418012563384549
3.2,0.00424,0.0042892578125,0.00423947324604556,0.00423999999999993,0.00427246093750004,0.00423825020812839
3.22,0.004325224,0.004373828125,0.00432336638159389,0.00428239999999996,0.00428222656249995,0.00424793763717547
3.24,0.004411296,0.004460546875,0.00440939075153258,0.0043248,0.00437988281249996,0.00434481192764697
3.26,0.004498216,0.0045490234375,0.00449715885869976,0.00436720000000002,0.00443847656249999,0.00440293650192989
3.28,0.004585984,0.0046380859375,0.00458550821160978,0.00440959999999999,0.004482421875,0.00444652993264211
3.3,0.0046746,0.0047283203125,0.00467502005600545,0.00445200000000006,0.00445312500000003,0.0044174676455007
3.32,0.004764064,0.0048162109375,0.0047622069174298,0.00449440000000006,0.00446777343750004,0.0044319987890714
3.34,0.004854376,0.00490703125,0.0048523000075683,0.0045368,0.00460449218750004,0.0045676227957315
3.36,0.004945536,0.005000390625,0.00494491182925906,0.0045792,0.00465332031250001,0.00461605994096724
3.38,0.005037544,0.0050931640625,0.00503694240520699,0.00462159999999999,0.00466796875,0.00463059108453797
3.4,0.0051304,0.005187109375,0.00513013547264058,0.00466400000000001,0.00471679687499997,0.00467902822977369
3.42,0.005224104,0.0052818359375,0.00522410353439794,0.00470639999999998,0.00467773437499996,0.00464027851358505
3.44,0.005318656,0.00537421875,0.00531574661318398,0.00474879999999998,0.00474609375000002,0.00470809051691517
3.46,0.005414056,0.0054716796875,0.00541242715507455,0.00479120000000002,0.00488281249999998,0.00484371452357526
3.48,0.005510304,0.00556953125,0.00550949519412699,0.00483360000000003,0.00489257812499996,0.00485340195262237
3.5,0.0056074,0.0056673828125,0.00560656323317944,0.00485479999999993,0.004892578125,0.00485340195262242
