VGS_V,reading_01_A,reading_02_A,reading_03_A,reading_04_A,reading_05_A,reading_06_A,reading_07_A,reading_08_A,reading_09_A,reading_10_A,reading_11_A,reading_12_A,reading_13_A,reading_14_A,reading_15_A,reading_16_A,reading_17_A,reading_18_A,reading_19_A,reading_20_A,reading_21_A,reading_22_A,reading_23_A,reading_24_A,reading_25_A
0.2,9.765625e-06,1.953125e-05,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,2.44140625e-05
0.22,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05
0.24,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05
0.26,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,2.44140625e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,2.44140625e-05
0.28,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,4.8828125e-06,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05
0.3,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06
0.32,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05
0.34,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,2.44140625e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,4.8828125e-06,1.46484375e-05
0.36,1.46484375e-05,1.46484375e-05,9.765625e-06,2.44140625e-05,2.44140625e-05,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06
0.38,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,4.8828125e-06,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05
0.4,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,4.8828125e-06,1.46484375e-05,1.953125e-05,2.44140625e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05
0.42,1.46484375e-05,1.953125e-05,4.8828125e-06,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,2.44140625e-05,1.953125e-05,2.44140625e-05,4.8828125e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05
0.44,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,4.8828125e-06,9.765625e-06
0.46,1.46484375e-05,1.953125e-05,1.46484375e-05,2.44140625e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05
0.48,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,2.44140625e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,2.44140625e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05
0.5,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,2.44140625e-05,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05
0.52,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05
0.54,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05
0.56,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,4.8828125e-06,9.765625e-06,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06
0.58,1.46484375e-05,9.765625e-06,9.765625e-06,1.953125e-05,9.765625e-06,1.953125e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06
0.6,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,4.8828125e-06,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05
0.62,4.8828125e-06,1.953125e-05,1.46484375e-05,9.765625e-06,2.44140625e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05
0.64,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05
0.66,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,9.765625e-06,9.765625e-06,9.765625e-06,9.765625e-06,2.44140625e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.953125e-05,4.8828125e-06,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06
0.68,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,2.44140625e-05,1.46484375e-05,2.44140625e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05
0.7,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06
0.72,9.765625e-06,1.953125e-05,2.44140625e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,4.8828125e-06,1.953125e-05,1.46484375e-05,1.953125e-05,2.44140625e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05
0.74,2.44140625e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.953125e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,2.44140625e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06
0.76,1.953125e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05
0.78,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,9.765625e-06,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,2.44140625e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05
0.8,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,4.8828125e-06,9.765625e-06,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05
0.82,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,2.44140625e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,2.44140625e-05,2.44140625e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05
0.84,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,9.765625e-06,2.44140625e-05
0.86,4.8828125e-06,1.46484375e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,2.44140625e-05,4.8828125e-06,1.46484375e-05
0.88,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05
0.9,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05
0.92,2.44140625e-05,9.765625e-06,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,9.765625e-06,1.46484375e-05,9.765625e-06
0.94,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,9.765625e-06,1.46484375e-05
0.96,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05
0.98,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,4.8828125e-06,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05
1,1.953125e-05,9.765625e-06,2.9296875e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05
1.02,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,4.8828125e-06,2.44140625e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,2.44140625e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05
1.04,9.765625e-06,2.44140625e-05,1.46484375e-05,1.46484375e-05,2.44140625e-05,2.44140625e-05,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,9.765625e-06,9.765625e-06,1.953125e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05
1.06,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05
1.08,2.44140625e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,9.765625e-06,9.765625e-06,9.765625e-06,1.953125e-05,9.765625e-06,2.44140625e-05,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05
1.1,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,2.44140625e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,4.8828125e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06
1.12,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05
1.14,1.46484375e-05,1.46484375e-05,2.44140625e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,9.765625e-06,4.8828125e-06,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,4.8828125e-06
1.16,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,0,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06
1.18,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,4.8828125e-06,2.44140625e-05,1.953125e-05,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,2.44140625e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05
1.2,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,2.44140625e-05,2.44140625e-05,9.765625e-06,9.765625e-06,1.953125e-05,4.8828125e-06,9.765625e-06,4.8828125e-06,9.765625e-06,2.44140625e-05,4.8828125e-06
1.22,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,2.44140625e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05
